acc,biosample,geo_loc_name_country_calc,geo_loc_name_country_continent_calc,platform,instrument,bioproject,avgspotlen,mbases,collection_date_sam
ERR6279649,SAMEA8072219,United Kingdom,Europe,ILLUMINA,unspecified,PRJEB43119,299,3029,2016-04-25
ERR10960861,SAMEA112710908,Kenya,Africa,ILLUMINA,Illumina NovaSeq 6000,PRJEB52748,299,10689,
SRR10499626,SAMN13292850,Serbia,Europe,ILLUMINA,Illumina HiSeq 2000,PRJNA589866,202,5914,
ERR3053490,SAMEA5216083,Norway,Europe,ILLUMINA,Illumina MiSeq,PRJEB29052,490,776,
SRR17319328,SAMN24344456,France,Europe,ILLUMINA,Illumina NovaSeq 6000,PRJNA791751,299,9892,2017-03-20
ERR912202,SAMEA3449427,United Kingdom,Europe,ILLUMINA,Illumina HiSeq 2000,PRJEB9576,195,6219,
ERR3053406,SAMEA5216179,Norway,Europe,ILLUMINA,Illumina MiSeq,PRJEB29052,505,1341,
ERR3053333,SAMEA5216107,Norway,Europe,ILLUMINA,Illumina MiSeq,PRJEB29052,385,1176,
ERR10149268,SAMEA111279343,South Korea,Asia,ILLUMINA,Illumina HiSeq 4000,PRJEB55713,302,6420,2020-04-03
ERR6271719,SAMEA8072310,United Kingdom,Europe,ILLUMINA,unspecified,PRJEB43119,297,6250,2019-12-16
ERR6275664,SAMEA8072300,United Kingdom,Europe,ILLUMINA,unspecified,PRJEB43119,299,4437,2019-04-16
SRR8555110,SAMN10908403,Ecuador,South America,ILLUMINA,Illumina HiSeq 2000,PRJNA486009,293,2678,2014-09-18
SRR13378587,SAMN17250479,Burkina Faso,Africa,ILLUMINA,Illumina NovaSeq 6000,PRJNA690543,302,18199,2017-08-01
ERR2619726,SAMEA4719779,Cameroon,Africa,ILLUMINA,Illumina HiSeq 2000,PRJEB27005,202,5567,2013-10-01
ERR3722028,SAMEA6377506,South Korea,Asia,ILLUMINA,Illumina HiSeq 4000,PRJEB35738,301,5855,2019-05-16
ERR10960853,SAMEA112710900,Kenya,Africa,ILLUMINA,Illumina NovaSeq 6000,PRJEB52748,298,13741,
SRR3313058,SAMN04571714,Luxembourg,Europe,ILLUMINA,Illumina HiSeq 2000,PRJNA289586,162,3839,2012-08-17
SRR12817617,SAMN16428219,Luxembourg,Europe,ILLUMINA,NextSeq 500,PRJNA595749,271,5477,2016-07-27
SRR11648335,SAMN14775299,Turkey,Asia,ILLUMINA,NextSeq 500,PRJNA629392,151,2931,2018-04-06
ERR10149266,SAMEA111279341,South Korea,Asia,ILLUMINA,Illumina HiSeq 4000,PRJEB55713,302,6326,2020-04-03
SRR5439750,SAMN06718184,Singapore,Asia,ILLUMINA,Illumina HiSeq 2500,PRJNA382746,500,21658,2016-06-22
SRR9988186,SAMN12583231,Ecuador,South America,ILLUMINA,Illumina HiSeq 2000,PRJNA486009,288,2650,2014-11-09
SRR15343552,SAMN20566147,Democratic Republic of the Congo,Africa,ILLUMINA,NextSeq 500,PRJNA752006,294,1814,2018-03-01
ERR10149264,SAMEA111279339,South Korea,Asia,ILLUMINA,Illumina HiSeq 4000,PRJEB55713,302,6913,2020-04-03
ERR11029233,SAMEA112796024,Latvia,Europe,DNBSEQ,DNBSEQ-G400,PRJEB60097,300,6782,
ERR11029262,SAMEA112796053,Latvia,Europe,DNBSEQ,DNBSEQ-G400,PRJEB60097,300,7522,
ERR6619120,SAMEA9561685,Austria,Europe,ILLUMINA,unspecified,PRJEB47061,302,6475,2012-06-01
SRR18191148,SAMN26340409,Hungary,Europe,ILLUMINA,Illumina HiSeq 2500,PRJNA811494,292,6886,2019-03-08
SRR5575417,SAMN06909386,Luxembourg,Europe,ILLUMINA,Illumina HiSeq 2500,PRJNA379120,298,5000,2015-08-06
SRR17319369,SAMN24344472,France,Europe,ILLUMINA,Illumina NovaSeq 6000,PRJNA791751,296,3024,2017-03-20
DRR070908,SAMD00046790,Indonesia,Asia,ILLUMINA,Illumina HiSeq 2500,PRJDB4525,300,8709,2011-02-01
ERR3722025,SAMEA6377503,South Korea,Asia,ILLUMINA,Illumina HiSeq 4000,PRJEB35738,301,5741,2019-05-16
SRR7227954,SAMN09272225,United Kingdom,Europe,ILLUMINA,Illumina HiSeq 4000,PRJNA473348,279,4445,2016-07-13
SRR15343525,SAMN20566172,Democratic Republic of the Congo,Africa,ILLUMINA,NextSeq 500,PRJNA752006,279,1535,2018-03-01
SRR24307438,SAMN34376139,Belgium,Europe,ILLUMINA,Illumina HiSeq X,PRJNA961974,302,959,2022-05-01
SRR3992989,SAMN05414921,Mongolia,Asia,ILLUMINA,Illumina HiSeq 4000,PRJNA328899,284,6026,2013-06-01
ERR2619749,SAMEA4719802,Cameroon,Africa,ILLUMINA,Illumina HiSeq 2000,PRJEB27005,202,4701,2013-10-01
SRR13378559,SAMN17250505,Burkina Faso,Africa,ILLUMINA,Illumina NovaSeq 6000,PRJNA690543,302,6991,2017-08-01
DRR070910,SAMD00046792,Indonesia,Asia,ILLUMINA,Illumina HiSeq 2500,PRJDB4525,300,10403,2011-02-01
SRR5275404,SAMN06328496,uncalculated,uncalculated,ILLUMINA,Illumina HiSeq 2500,PRJNA373901,250,3859,2014-03-06
SRR17048956,SAMN16796994,South Africa,Africa,ILLUMINA,Illumina HiSeq 4000,PRJNA678454,268,2104,2017-09-14
SRR15343406,SAMN20566193,Democratic Republic of the Congo,Africa,ILLUMINA,NextSeq 500,PRJNA752006,295,1852,2018-03-01
ERR3053468,SAMEA5216063,Norway,Europe,ILLUMINA,Illumina MiSeq,PRJEB29052,556,934,
ERR10960930,SAMEA112710977,Kenya,Africa,ILLUMINA,Illumina NovaSeq 6000,PRJEB52748,299,10884,
SRR14000503,SAMN18353484,France,Europe,ILLUMINA,Illumina HiSeq 2500,PRJNA715586,245,4533,
SRR24307464,SAMN34376092,Belgium,Europe,ILLUMINA,Illumina HiSeq X,PRJNA961974,302,515,2022-05-01
SRR13060992,SAMN16796202,South Korea,Asia,ILLUMINA,Illumina HiSeq 4000,PRJNA678426,302,52873,
SRR17049005,SAMN16797101,South Africa,Africa,ILLUMINA,Illumina HiSeq 4000,PRJNA678454,250,848,2017-10-01
ERR7745777,SAMEA4969181,Nepal,Asia,ILLUMINA,Illumina NovaSeq 6000,PRJEB49206,274,26042,
ERR1728836,SAMEA4545447,Kazakhstan,Asia,ILLUMINA,Illumina HiSeq 2000,PRJEB17632,81,95,2015-02-11
SRR15343469,SAMN20566234,Democratic Republic of the Congo,Africa,ILLUMINA,NextSeq 500,PRJNA752006,291,1920,2018-03-01
SRR17319364,SAMN24344477,France,Europe,ILLUMINA,Illumina NovaSeq 6000,PRJNA791751,299,3236,2017-03-20
SRR18191190,SAMN26340341,Hungary,Europe,ILLUMINA,Illumina HiSeq 2500,PRJNA811494,295,6400,2018-08-30
SRR5575620,SAMN06909399,Luxembourg,Europe,ILLUMINA,Illumina HiSeq 2500,PRJNA379120,298,3917,2015-08-02
SRR7227950,SAMN09272221,United Kingdom,Europe,ILLUMINA,Illumina HiSeq 4000,PRJNA473348,289,1996,2016-12-23
ERR3722009,SAMEA6377487,South Korea,Asia,ILLUMINA,Illumina HiSeq 4000,PRJEB35738,302,7461,2018-08-29
ERR11029048,SAMEA112671349,Latvia,Europe,DNBSEQ,DNBSEQ-G400,PRJEB60097,300,6513,
ERR688402,SAMEA3136692,Austria,Europe,ILLUMINA,Illumina HiSeq 2000,PRJEB7774,86,127,
ERR912061,SAMEA3449256,United Kingdom,Europe,ILLUMINA,Illumina HiSeq 2000,PRJEB9576,194,6845,
SRR10499672,SAMN13292837,Bulgaria,Europe,ILLUMINA,Illumina HiSeq 2000,PRJNA589866,202,9316,
SRR17319343,SAMN24344496,France,Europe,ILLUMINA,Illumina NovaSeq 6000,PRJNA791751,300,21381,2017-03-20
ERR10960848,SAMEA112710895,Kenya,Africa,ILLUMINA,Illumina NovaSeq 6000,PRJEB52748,300,9005,
SRR11648349,SAMN14775304,Turkey,Asia,ILLUMINA,NextSeq 500,PRJNA629392,151,1810,2018-05-30
SRR13061022,SAMN16796175,South Korea,Asia,ILLUMINA,Illumina HiSeq 4000,PRJNA678426,302,30108,
SRR10499734,SAMN13292954,Romania,Europe,ILLUMINA,Illumina HiSeq 2000,PRJNA589866,202,6475,
ERR11029252,SAMEA112796043,Latvia,Europe,DNBSEQ,DNBSEQ-G400,PRJEB60097,300,6948,
SRR5275394,SAMN06328465,uncalculated,uncalculated,ILLUMINA,Illumina HiSeq 2500,PRJNA373901,250,3393,2014-07-31
SRR10499575,SAMN13292867,Bulgaria,Europe,ILLUMINA,Illumina HiSeq 2000,PRJNA589866,202,7265,
SRR10499539,SAMN13293008,Romania,Europe,ILLUMINA,Illumina HiSeq 2000,PRJNA589866,202,6531,
SRR3993015,SAMN05414945,Mongolia,Asia,ILLUMINA,Illumina HiSeq 4000,PRJNA328899,300,8951,2010-10-01
ERR10085107,SAMEA110645810,Taiwan,Asia,ILLUMINA,HiSeq X Ten,PRJEB55366,302,12770,2019-02-26
SRR10499671,SAMN13292838,Bulgaria,Europe,ILLUMINA,Illumina HiSeq 2000,PRJNA589866,202,7027,
SRR17319396,SAMN24344519,France,Europe,ILLUMINA,Illumina NovaSeq 6000,PRJNA791751,300,25094,2017-03-20
SRR1765450,SAMN03287435,uncalculated,uncalculated,ILLUMINA,Illumina HiSeq 2000,PRJNA237362,202,785,
SRR8114120,SAMN09837358,Luxembourg,Europe,ILLUMINA,Illumina HiSeq 4000,PRJNA289586,228,5085,2014-03-26
SRR8114124,SAMN09837362,Luxembourg,Europe,ILLUMINA,Illumina HiSeq 4000,PRJNA289586,245,5011,2014-04-30
SRR7227979,SAMN09272216,United Kingdom,Europe,ILLUMINA,Illumina HiSeq 4000,PRJNA473348,280,1553,2016-11-10
SRR15343486,SAMN20566219,Democratic Republic of the Congo,Africa,ILLUMINA,NextSeq 500,PRJNA752006,276,1621,2018-03-01
SRR13378606,SAMN17250462,Burkina Faso,Africa,ILLUMINA,Illumina NovaSeq 6000,PRJNA690543,302,2980,2017-08-01
ERR10149255,SAMEA111279330,South Korea,Asia,ILLUMINA,Illumina HiSeq 4000,PRJEB55713,302,7316,2020-04-03
SRR10499599,SAMN13292990,Bulgaria,Europe,ILLUMINA,Illumina HiSeq 2000,PRJNA589866,202,9422,
SRR10499542,SAMN13293005,Romania,Europe,ILLUMINA,Illumina HiSeq 2000,PRJNA589866,202,9832,
SRR1765626,SAMN03287436,uncalculated,uncalculated,ILLUMINA,Illumina HiSeq 2000,PRJNA237362,202,527,
ERR3053487,SAMEA5216081,Norway,Europe,ILLUMINA,Illumina MiSeq,PRJEB29052,529,700,
ERR4467748,SAMEA7082433,Norway,Europe,ILLUMINA,NextSeq 550,PRJEB36140,290,4719,
SRR13060983,SAMN16796210,South Korea,Asia,ILLUMINA,Illumina HiSeq 4000,PRJNA678426,302,25630,
SRR15343401,SAMN20566197,Democratic Republic of the Congo,Africa,ILLUMINA,NextSeq 500,PRJNA752006,291,2442,2018-03-01
SRR10499645,SAMN13292977,Bulgaria,Europe,ILLUMINA,Illumina HiSeq 2000,PRJNA589866,202,8988,
ERR11029244,SAMEA112796035,Latvia,Europe,DNBSEQ,DNBSEQ-G400,PRJEB60097,300,5449,
SRR10499449,SAMN13293045,Serbia,Europe,ILLUMINA,Illumina HiSeq 2000,PRJNA589866,202,7905,
SRR13378615,SAMN17250454,Burkina Faso,Africa,ILLUMINA,Illumina NovaSeq 6000,PRJNA690543,302,8075,2017-08-01
SRR7227964,SAMN09272268,United Kingdom,Europe,ILLUMINA,Illumina HiSeq 4000,PRJNA473348,283,5121,2017-04-26
